,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
809,304,Глушанки,1,16000,10,АО Тул. гор. электр. сети,Т-1,1 СкШ 10 кВ ПС Глушанки,1 СкШ 10 кВ
815,304,Глушанки,2,10000,10,АО Тул. гор. электр. сети,Т-2,2 СкШ 10 кВ ПС Глушанки,2 СкШ 10 кВ
821,306,Тесницкая,3 (откл.),6300,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Тесницкая,1 СкШ 6 кВ
825,306,Тесницкая,2,4000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Тесницкая,2 СкШ 6 кВ
828,307,Плотина,1,2500,10,Киреевский ГРЭС,Т-1,1 СкШ 10 кВ ПС Плотина,1 СкШ 10 кВ
831,321,Заокская,3,16000,10,Ясногорский РЭС ,Т-1,1 СкШ 10 кВ ПС Заокская,1 СкШ 10 кВ
838,321,Заокская,2 (откл.),16000,10,Ясногорский РЭС ,Т-2,2 СкШ 10 кВ ПС Заокская,2 СкШ 10 кВ
842,322,Яковлево,1,10000,10,Ясногорский РЭС ,Т-1,1 СкШ 10 кВ ПС Яковлево,1 СкШ 10 кВ
851,322,Яковлево,2,10000,10,Ясногорский РЭС ,Т-2,2 СкШ 10 кВ ПС Яковлево,2 СкШ 10 кВ
863,344,Средняя,1,16000,6,Алексинский РЭС,Т-1,1 СкШ 6 кВ ПС Средняя,1 СкШ 6 кВ
868,344,Средняя,2,10000,6,ЗАО Туластройматериалы Алексинский кирпичный завод,Т-2,2 СкШ 6 кВ ПС Средняя,2 СкШ 6 кВ
873,345,Санталово,Интеркрос-1,6300,6,ООО Интеркрос Центр,Т-1,1 СкШ 6 кВ ПС Санталово,1 СкШ 6 кВ
879,345,Санталово,4,6300,6,Ясногорский РЭС,Т-2,2 СкШ 6 кВ ПС Санталово,2 СкШ 6 кВ
881,363,Временная,1,6300,6,гр. РФ Нефёдов А.А.,Т-1,1 СкШ 6 кВ ПС Временная,1 СкШ 6 кВ
886,369,Непрейка,1,4000,6,ОАО Тулагорводоканал,Т-1,1 СкШ 6 кВ ПС Непрейка,1 СкШ 6 кВ
890,369,Непрейка,8,4000,6,ОАО Тулагорводоканал,Т-2,2 СкШ 6 кВ ПС Непрейка,2 СкШ 6 кВ
894,370,Тулица,1,25000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Тулица,1 СкШ 6 кВ
901,370,Тулица,33,25000,10,"ПАО ""НПО ""Стрела""",Т-1,1 СкШ 10 кВ ПС Тулица,1 СкШ 10 кВ
906,370,Тулица,2,25000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Тулица,2 СкШ 6 кВ
912,370,Тулица,30,25000,10,АО Тул. гор. электр. сети,Т-2,2 СкШ 10 кВ ПС Тулица,2 СкШ 10 кВ
918,371,Никулинская,Суходол 1 ,25000,10,ТДЭ МЖД (Тульская дистанция электроснабжения Московской железной дороги),Т-1,1 СкШ 10 кВ ПС Никулинская,1 СкШ 10 кВ
924,371,Никулинская,НОК (откл.),25000,10,ООО Никулинский строительный камень,Т-2,2 СкШ 10 кВ ПС Никулинская,2 СкШ 10 кВ
930,378,Гагаринская,3,25000,6,ОАО Щекинская городская электросеть,Т-1,1 СкШ 6 кВ ПС Гагаринская,1 СкШ 6 кВ
936,378,Гагаринская,2,16000,6,АО Газстройдеталь (парк-отель Грумант),Т-2,2 СкШ 6 кВ ПС Гагаринская,2 СкШ 6 кВ
939,381,Ненашево,3 (откл.),4000,10,,Т-1,1 СкШ 10 кВ ПС Ненашево,1 СкШ 10 кВ
942,381,Ненашево,1,10000,10,Ясногорский РЭС,Т-2,2 СкШ 10 кВ ПС Ненашево,2 СкШ 10 кВ
947,384,Советская,КВОиТ 1,16000,6,ПАО Щекинский завод КВОиТ,Т-1,1 СкШ 6 кВ ПС Советская,1 СкШ 6 кВ
951,384,Советская,ВОХР,10000,6,Щекинский РЭС,Т-2,2 СкШ 6 кВ ПС Советская,2 СкШ 6 кВ
957,385,Обидимо,7,16000,6,"ООО ""Браер II""",Т-1,1 СкШ 6 кВ ПС Обидимо,1 СкШ 6 кВ
959,385,Обидимо,2,7500,6,Кирпичный завод БРАЕР,Т-2,2 СкШ 6 кВ ПС Обидимо,2 СкШ 6 кВ
964,386,Мелиоративная,1,10000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Мелиоративная,1 СкШ 6 кВ
972,404,Ратово,1,10000,6,"ООО ИПСК ""ТЭСК""",Т-1,1 СкШ 6 кВ ПС Ратово,1 СкШ 6 кВ
976,404,Ратово,6,10000,6,ОАО Тулагорводоканал,Т-2,2 СкШ 6 кВ ПС Ратово,2 СкШ 6 кВ
977,406,Крушма,2,6300,10,Алексинский РЭС,Т-2,2 СкШ 10 кВ ПС Крушма,2 СкШ 10 кВ
980,407,Глебово,1,6300,10,ОАО Тулагорводоканал,Т-1,1 СкШ 10 кВ ПС Глебово,1 СкШ 10 кВ
982,433,Стечкин,3,40000,10,ООО Ин-Групп,Т-1,1 СкШ 10 кВ ПС Стечкин,1 СкШ 10 кВ
991,433,Стечкин,2,40000,10,ООО Ин-Групп,Т-2,2 СкШ 10 кВ ПС Стечкин,2 СкШ 10 кВ
999,999,РП Китаевка,104,6300,10,"ООО ""Жилстрой""",Т-2,2 СкШ 10 кВ ПС РП Китаевка,2 СкШ 10 кВ
